id_interaction,id_cp_interaction,multidata_1_id,multidata_2_id,source,annotation_strategy,is_ppi,curator,directionality,classification
68,CPI-SS08C411721,509,562,PMID:11590190,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by CEAM
69,CPI-SS0CCDBBBC0,340,509,PMID:24743304,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by CEAM
70,CPI-SS0BDC04683,340,373,PMID:1378450,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by CEAM
71,CPI-SS0B111D2F5,1002,373,uniprot,curated,True,LGarciaAlonso,Ligand-Receptor,Signaling by Podocalyxin-like protein
72,CPI-SS085C6A191,765,373,PMC4571854,curated,True,RVentoTormo,Ligand-Receptor,Signaling by Selectin
73,CPI-SS06F83AE58,363,373,PMC4571854,curated,True,RVentoTormo,Ligand-Receptor,
74,CPI-SS0AC66088D,250,361,PMID:24104458,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by CEAM
75,CPI-SS04B37190C,250,196,PMID:24104458,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by CEAM
76,CPI-SS0B537DD3F,250,340,Induces_NK_Cell_Inhibition._Reviewed_in_PMID:24987108,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by CEAM
77,CPI-SC04FA882F7,716,1506,uniprot,curated,True,RVentoTormo,Ligand-Receptor,Adhesion by Collagen/Integrin
78,CPI-SC0E53A238E,322,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
79,CPI-SC071163509,343,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
80,CPI-SC0E83A4B71,930,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
81,CPI-SC0FCF853DB,810,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
82,CPI-SC0AB5FBF10,720,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
83,CPI-SC027893337,1347,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
84,CPI-SC06AD39F88,725,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
85,CPI-SC0C841033A,1042,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
86,CPI-SC0C739EDCE,1348,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
87,CPI-SC079D293A2,775,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
88,CPI-SC08DBCCFF0,197,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
89,CPI-SC09DB9D20A,264,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
90,CPI-SC0804EB2C0,1012,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
91,CPI-SC065DB6486,911,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
92,CPI-SC0713C9654,869,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
93,CPI-SC073A7317A,799,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
94,CPI-SC01E6BE079,903,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
95,CPI-SC050F64BB5,852,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
96,CPI-SC01C274A51,804,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
97,CPI-SC0EA8ABCFD,198,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
98,CPI-SC00367777A,199,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
99,CPI-SC0744E13CB,200,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
100,CPI-SC03F728659,272,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
101,CPI-SC0886D58EF,703,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
102,CPI-SC04ABF0023,648,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
103,CPI-SC042B580A3,1344,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
104,CPI-SC0C8B6ACF5,758,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
105,CPI-SC0592501EA,413,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
106,CPI-SC037A0554C,245,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
107,CPI-SC00EAD4C47,1340,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
108,CPI-SC0549A759B,323,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
109,CPI-SC0F9FB6DCB,324,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
110,CPI-SC0ECDD1074,325,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
111,CPI-SC0C6DC4D50,34,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
112,CPI-SC0D3870098,33,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
113,CPI-SC0E509A5C6,708,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
114,CPI-SC03760D980,1343,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
115,CPI-SC0453131F6,450,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
116,CPI-SC070BECDC9,412,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
117,CPI-SC0270AA5D9,760,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
118,CPI-SC0DC74CBE5,759,1506,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
119,CPI-SC03AF43F8B,114,1506,PMID:22325954,curated,True,RVentoTormo,Ligand-Receptor,Signaling by Semaphorin
120,CPI-SC0B4F620A6,716,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
121,CPI-SC0B991F6B1,322,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
122,CPI-SC034D4CF73,343,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
123,CPI-SC0EC720659,930,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
124,CPI-SC0A18569E5,810,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
125,CPI-SC0B6D93CD4,720,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
126,CPI-SC01BE5E1F7,1347,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
127,CPI-SC027EF0F68,725,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
128,CPI-SC00942962B,1042,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
129,CPI-SC039737584,1348,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
130,CPI-SC0423059DF,775,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
131,CPI-SC028882919,197,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
132,CPI-SC07707E049,264,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
133,CPI-SC0F393B830,1012,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
134,CPI-SC076898564,911,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
135,CPI-SC0AA500B63,869,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
136,CPI-SC09E4E673B,799,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
137,CPI-SC008D5E4B2,903,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
138,CPI-SC090152EEE,852,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
139,CPI-SC0E9AA9087,804,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
140,CPI-SC0AA90A03B,198,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
141,CPI-SC0A7864078,199,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
142,CPI-SC0756B421F,200,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
143,CPI-SC0096917A2,272,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
144,CPI-SC0CC8A2F79,703,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
145,CPI-SC030087D4F,648,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
146,CPI-SC0F1833AC0,1344,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
147,CPI-SC0BFDE14E9,758,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
148,CPI-SC05590EDD3,413,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
149,CPI-SC0CED85DDE,245,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
150,CPI-SC0DA063880,1340,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
151,CPI-SC0251EEF61,323,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
152,CPI-SC07F654CB3,324,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
153,CPI-SC059D160BE,325,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
154,CPI-SC0E4A99136,34,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
155,CPI-SC0E03C13D1,33,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
156,CPI-SC0B4771D76,708,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
157,CPI-SC068FFC547,1343,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
158,CPI-SC0FCB8DFBB,450,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
159,CPI-SC050CC3A3F,412,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
160,CPI-SC0A210DC1F,760,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
161,CPI-SC0FD500AF3,759,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
162,CPI-SC0C91660AB,208,1504,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Fibronectin
163,CPI-SC0519DE925,716,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
164,CPI-SC06F3DDF90,322,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
165,CPI-SC06DCE672A,343,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
166,CPI-SC0A3722F1F,930,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
167,CPI-SC093DFA335,810,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
168,CPI-SC092A2325E,720,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
169,CPI-SC0BCE0B954,1347,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
170,CPI-SC01633DC81,725,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
171,CPI-SC0D3C68BD6,1042,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
172,CPI-SC0755F1632,1348,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
173,CPI-SC0E09C8768,775,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
174,CPI-SC0AD2341AF,197,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
175,CPI-SC015ECCD97,264,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
176,CPI-SC0BB8BF2C5,1012,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
177,CPI-SC0C1E494D6,911,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
178,CPI-SC015ED6B05,869,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
179,CPI-SC0B09B811A,799,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
180,CPI-SC08885876E,903,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
181,CPI-SC0FC6454F5,852,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
182,CPI-SC0E40282DA,804,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
183,CPI-SC0A5E87289,198,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
184,CPI-SC0C061DC28,199,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
185,CPI-SC0C351F7DF,200,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
186,CPI-SC09AE93F66,272,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
187,CPI-SC08F17FB3E,703,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
188,CPI-SC0FAC9844A,648,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
189,CPI-SC044B5BE16,1344,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
190,CPI-SC01539071B,758,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
191,CPI-SC08821B0D2,413,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
192,CPI-SC075489ADB,245,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
193,CPI-SC0D0BFC9F7,1340,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
194,CPI-SC0FB1817EE,323,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
195,CPI-SC0C5B4E222,324,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
196,CPI-SC044916391,325,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
197,CPI-SC0E453F338,34,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
198,CPI-SC0EDDBD0FB,33,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
199,CPI-SC037038602,708,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
200,CPI-SC04FF0CDA1,1343,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
201,CPI-SC0CC30CEC0,450,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
202,CPI-SC0E8C3A996,412,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
203,CPI-SC0C155763A,760,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
204,CPI-SC086D7EC73,759,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin
205,CPI-SC0AE4F5BAB,208,1505,uniprot,curated,True,RVentoTormo,Adhesion-Adhesion,Adhesion by Fibronectin
206,CPI-SS0343DD0EE,199,1168,uniprot;reactome;IUPHAR,curated,True,JCranley,Adhesion-Adhesion,Adhesion by Collagen/Integrin
207,CPI-SS06265E131,179,1168,uniprot;reactome;IUPHAR,curated,True,JCranley,Ligand-Receptor,Signaling by Gastrin
208,CPI-SS09C0B8677,1320,1168,uniprot;reactome;IUPHAR,curated,True,JCranley,Ligand-Receptor,
209,CPI-SS015BF69EE,200,1169,uniprot;reactome;IUPHAR,curated,True,JCranley,Adhesion-Adhesion,Adhesion by Collagen/Integrin
210,CPI-SS01771D11B,272,1169,uniprot;reactome;IUPHAR,curated,True,JCranley,Adhesion-Adhesion,Adhesion by Collagen/Integrin
