id_protein,protein_name,tags,tags_reason,tags_description,protein_multidata_id
135,FGF19_HUMAN,,,,135
136,IL33_HUMAN,,,,136
137,GPR75_HUMAN,,,,137
138,CER1_HUMAN,,,,138
139,GLP2R_HUMAN,,,,139
140,BY55_HUMAN,,,,140
141,BMP15_HUMAN,,,,141
142,WNT11_HUMAN,,,,142
143,EGFR_HUMAN,,,,143
144,THRB_HUMAN,,,,144
145,FA10_HUMAN,,,,145
146,PLMN_HUMAN,,,,146
147,UROK_HUMAN,,,,147
148,RENI_HUMAN,,,,148
149,ANGT_HUMAN,,,,149
150,CO3_HUMAN,,,,150
151,CO5_HUMAN,,,,151
152,KNG1_HUMAN,,,,152
153,PDGFB_HUMAN,,,,153
154,EGF_HUMAN,To_add | To_comment,secreted_add | secreted_high| extracellular _add,Uniprot: EGF stimulates the growth of various epidermal and epithelial tissues in vivo and in vitro and of some fibroblasts in cell culture.,154
155,TGFA_HUMAN,,,,155
156,TGFB1_HUMAN,,,,156
157,NGF_HUMAN,,,,157
158,GON1_HUMAN,,,,158
159,ANF_HUMAN,,,,159
160,NEU1_HUMAN,,,,160
161,NEU2_HUMAN,,,,161
162,COLI_HUMAN,,,,162
163,PENK_HUMAN,,,,163
164,PDYN_HUMAN,,,,164
165,TSHB_HUMAN,,,,165
166,FSHB_HUMAN,,,,166
167,LSHB_HUMAN,,,,167
168,PRL_HUMAN,,,,168
169,SOMA_HUMAN,,,,169
170,SOM2_HUMAN,,,,170
171,CALC_HUMAN,,,,171
172,THYG_HUMAN,,,,172
173,PTHY_HUMAN,,,,173
174,GLUC_HUMAN,,,,174
175,VIP_HUMAN,,,,175
176,SLIB_HUMAN,,,,176
177,INS_HUMAN,,,,177
178,IGF2_HUMAN,,,,178
179,GAST_HUMAN,,,,179
180,TNFB_HUMAN,,,,180
181,TNFA_HUMAN,,,,181
182,IFNA1,,,,182
183,IFNA2_HUMAN,,,,183
184,IFN10_HUMAN,,,,184
185,IFNA7_HUMAN,,,,185
186,IFN21_HUMAN,,,,186
187,IFNA5_HUMAN,,,,187
188,IFN14_HUMAN,,,,188
189,IFN17_HUMAN,,,,189
190,IFNB_HUMAN,,,,190
191,IFNG_HUMAN,,,,191
192,IL1A_HUMAN,,,,192
193,IL1B_HUMAN,,,,193
194,EPO_HUMAN,,,,194
195,IL2RA_HUMAN,To_add,,Cytokine_receptor_add (uniprot),195
196,CD8A_HUMAN,To_comment,Receptor_add,,196
197,CO1A1_HUMAN,,,collagen,197
198,CO2A1_HUMAN,,,collagen,198
199,CO3A1_HUMAN,,,collagen,199
200,CO4A1_HUMAN,,,collagen,200
201,APOA1_HUMAN,,,,201
202,APOE_HUMAN,,,,202
203,APOA2_HUMAN,,,,203
204,FIBA_HUMAN,,,,204
205,FIBB_HUMAN,,,,205
206,FIBG_HUMAN,,,,206
207,ACHA_HUMAN,,,,207
208,FINC_HUMAN,,,,208
209,RET4_HUMAN,,,,209
210,ALBU_HUMAN,,,,210
211,CXCL7_HUMAN,,,,211
212,PLF4_HUMAN,,,,212
213,CXL10_HUMAN,,,,213
214,TFR1_HUMAN,,,,214
215,TRFE_HUMAN,,,,215
216,MIS_HUMAN,,,,216
217,VTNC_HUMAN,,,,217
218,PROC_HUMAN,,,,218
219,ANXA1_HUMAN,,,,219
220,PDGFA_HUMAN,,,,220
221,REL2_HUMAN,,,,221
222,APOB_HUMAN,,,,222
223,CSF2_HUMAN,,,,223
224,THY1_HUMAN,,,,224
225,HG2A_HUMAN,To_comment,Receptor_add,Chemokine_receptor_add,225
226,VWF_HUMAN,,,,226
227,ERBB2_HUMAN,,,,227
228,WNT1_HUMAN,,,,228
229,NTRK1_HUMAN,,,,229
230,IFNW1_HUMAN,,,,230
231,IFNA6_HUMAN,,,,231
232,IFNA4_HUMAN,,,,232
233,IFN16_HUMAN,,,,233
234,IGF1_HUMAN,,,,234
235,A4_HUMAN,To_add,,ligandIUPHAR,235
236,ITB3_HUMAN,,,Migration,236
237,ITB2_HUMAN,To_add,,Integrin (uniprot),237
238,INHA_HUMAN,,,,238
239,IL4_HUMAN,,,,239
240,IL5_HUMAN,,,,240
241,FGF1_HUMAN,,,,241
242,IL6_HUMAN,,,,242
243,ICAM1_HUMAN,To_add | To_comment,,Iglike | ligandIUPHAR,243
244,ITB1_HUMAN,,,Migration,244
245,CO5A2_HUMAN,,,Collagen,245
246,INSR_HUMAN,,,,246
247,LCK_HUMAN,To_comment,Extracellular_add,,247
248,CCKN_HUMAN,,,,248
249,CD2_HUMAN,To_add | To_comment,Receptor_add,Iglike | Receptor_add,249
250,CEAM5_HUMAN,To_comment,Adhesion_add,,250
251,FCER2_HUMAN,,,,251
252,ITAV_HUMAN,To_add | To_comment,Adhesion_add,Migration | Adhesion_add (uniprot),252
253,CRF_HUMAN,,,,253
254,TRBM_HUMAN,To_add,,endothelial cell receptor (uniprot),254
255,PDIA1_HUMAN,,,,255
256,CSF1R_HUMAN,,,,256
257,GP1BA_HUMAN,To_add,,a surface membrane protein of platelets (uniprot),257
258,GRP_HUMAN,,,,258
259,ADRB2_HUMAN,,,,259
260,SAP_HUMAN,,,,260
261,RET_HUMAN,,,,261
262,TSP1_HUMAN,To_add | To_comment,Extracellular_add,Adhesive glycoprotein that mediates cell-to-cell and cell-to-matrix interactions (uniprot),262
263,IGF1R_HUMAN,,,,263
264,CO1A2_HUMAN,,,Collagen,264
265,TNR16_HUMAN,To_add,,TNF_receptor_add (uniprot),265
266,ACM2_HUMAN,,,,266
267,ACM4_HUMAN,,,,267
268,DAF_HUMAN,,,,268
269,MMP2_HUMAN,,,,269
270,INHBA_HUMAN,,,,270
271,ITA2B_HUMAN,To_add,,Integrin (uniprot),271
272,CO4A2_HUMAN,,,Collagen,272
273,PTPRC_HUMAN,To_add | To_comment,transmembrane_add | extracellular_add,Uniprot: Protein tyrosine-protein phosphatase required for T-cell activation,273
274,MET_HUMAN,To_add | To_comment,transmembrane_add | receptor_add | extracellular_add,,274
275,ADRB1_HUMAN,,,,275
276,FGF4_HUMAN,,,,276
277,ITA5_HUMAN,To_add,,Integrin (uniprot),277
278,IL3_HUMAN,,,,278
279,IL6RA_HUMAN,,,,279
280,5HT1A_HUMAN,,,,280
281,ACM5_HUMAN,,,,281
282,ADA2A_HUMAN,,,,282
283,NMB_HUMAN,,,,283
284,FGF2_HUMAN,,,,284
285,DOPO_HUMAN,,,,285
286,CD48_HUMAN,To_comment,Extracellular_add,,286
287,GROA_HUMAN,,,,287
288,INHBB_HUMAN,,,,288
289,WNT2_HUMAN,,,,289
290,CSF1_HUMAN,,,,290
291,PGFRB_HUMAN,To_comment,,Migration,291
292,GIP_HUMAN,,,,292
293,SECR_HUMAN,,,,293
294,LOX5_HUMAN,To_add,,,294
295,CSF3_HUMAN,,,,295
296,CO4A_HUMAN,,,,296
297,NPS_HUMAN,,,,297
298,CFC1_HUMAN,,,,298
299,SAA1_HUMAN,,,,299
300,ELA_HUMAN,,,,300
301,AA3R_HUMAN,,,,301
302,CALCB_HUMAN,,,,302
303,IL8_HUMAN,,,,303
304,CCL3_HUMAN,,,,304
305,OSTP_HUMAN,,,,305
306,TGFB3_HUMAN,To_add | To_comment,extracellular_add,TGFbeta_family | ligandIUPHAR,306
307,KIT_HUMAN,,,,307
308,CD28_HUMAN,To_add | To_comment,Extracellular_add,Iglike,308
309,FGF6_HUMAN,,,,309
310,CLUS_HUMAN,,,,310
311,GHR_HUMAN,,,,311
312,CD8B_HUMAN,To_comment,Receptor_add,,312
313,IAPP_HUMAN,,,,313
314,LAMC1_HUMAN,,,laminin,314
315,ITAM_HUMAN,To_add,,Integrin (uniprot),315
316,ACM1_HUMAN,,,,316
317,BCR_HUMAN,,,,317
318,FGFR1_HUMAN,To_comment,,Migration,318
319,FGF3_HUMAN,,,,319
320,MPRI_HUMAN,To_add | To_comment,transmembrane_add | receptor_add | extracellular_add,,320
321,FGF5_HUMAN,,,,321
322,COBA1_HUMAN,,,Collagen,322
323,CO6A1_HUMAN,,,Collagen,323
324,CO6A2_HUMAN,,,Collagen,324
325,CO6A3_HUMAN,,,Collagen,325
326,PTHR_HUMAN,,,,326
327,BMP2_HUMAN,,,,327
328,BMP4_HUMAN,,,,328
329,CADH1_HUMAN,,,Cadherin,329
330,MOTI_HUMAN,,,,330
331,GP1BB_HUMAN,To_add,,surface membrane protein of platelets (uniprot),331
332,IL7_HUMAN,,,,332
333,CCL4_HUMAN,,,,333
334,TDGF1_HUMAN,,,,334
335,CCL2_HUMAN,,,,335
336,CCL5_HUMAN,,,,336
337,NCAM1_HUMAN,,,,337
338,ICAM2_HUMAN,To_add | To_comment,Extracellular_add,Iglike | ligandIUPHAR,338
339,ITA4_HUMAN,To_add,,Integrin (uniprot),339
340,CEAM1_HUMAN,To_comment,Extracellular_add,Migration,340
341,ONCM_HUMAN,,,,341
342,HLAE_HUMAN,To_add | To_comment,Extracellular_add,Iglike,342
343,COBA2_HUMAN,,,Collagen,343
344,ADRB3_HUMAN,,,,344
345,LYAM1_HUMAN,To_add,,Cell surface adhesion protein (uniprot),345
346,CD99_HUMAN,To_add,,Involved in T-cell adhesion (uniprot),346
347,HGF_HUMAN,To_add | To_comment,secreted_add | secreted_high | extracellular_add,"Uniprot: Potent mitogen for mature parenchymal hepatocyte cells, seems to be a hepatotrophic factor, and acts as a growth factor for a broad spectrum of tissues and cell types.",347
348,DRD2_HUMAN,,,,348
349,PA2GA_HUMAN,,,,349
350,IL1R1_HUMAN,,,,350
351,IL2RB_HUMAN,To_add,,cytokine_receptor,351
352,LIF_HUMAN,,,,352
353,PVR_HUMAN,,,,353
354,IL9_HUMAN,,,,354
355,INGR1_HUMAN,,,,355
356,EZRI_HUMAN,,,,356
357,CSF2R_HUMAN,,,,357
358,AREG_HUMAN,To_add | To_comment,secreted_add | secreted_high | extracellular_add,"Uniprot: Ligand of the EGF receptor/EGFR. Autocrine growth factor as well as a mitogen for a broad range of target cells including astrocytes, Schwann cells and fibroblasts.",358
359,MCP_HUMAN,To_add,,costimulatory factor (uniprot),359
360,VEGFA_HUMAN,,,,360
361,CD1D_HUMAN,,,,361
362,ANPRA_HUMAN,To_add,,Receptor (uniprot),362
363,CD44_HUMAN,,,,363
364,LYAM3_HUMAN,To_add,,Ca2+-dependent receptor (uniprot),364
365,ITB4_HUMAN,,,Integrin,365
366,LEUK_HUMAN,To_add | To_comment,transmembrane_add | extracellular_add,Uniprot: cell surface sialoprotein,366
367,PGFRA_HUMAN,,,,367
368,PECA1_HUMAN,,,,368
369,CTLA4_HUMAN,To_comment,Extracellular_add,,369
370,DPEP1_HUMAN,,,,370
371,PRLR_HUMAN,To_add,,cytokine_receptor,371
372,TSHR_HUMAN,,,,372
373,LYAM2_HUMAN,,,,373
374,CCL3L1,,,,374
375,CD36_HUMAN,,,,375
376,IL7RA_HUMAN,,,,376
377,INAR1_HUMAN,,,,377
378,ITA2_HUMAN,To_add,,Integrin (uniprot),378
379,ACHB2_HUMAN,,,,379
380,LEG3_HUMAN,,,,380
381,IBP3_HUMAN,,,,381
382,VGFR1_HUMAN,,,Migration,382
383,BMP7_HUMAN,,,,383
384,ITB5_HUMAN,To_add,,Integrin (uniprot),384
385,ADA2B_HUMAN,To_remove,,no ensembl,385
386,PACA_HUMAN,,,,386
387,IL1RA_HUMAN,,,,387
388,ITB6_HUMAN,To_add,,Integrin (uniprot),388
389,LAG3_HUMAN,To_add | To_comment,,Iglike | Possible_receptor,389
390,ADA2C_HUMAN,,,,390
391,CADH2_HUMAN,,,Migration,391
392,EPOR_HUMAN,,,,392
393,LFA3_HUMAN,To_comment,Extracellular_add,,393
394,VCAM1_HUMAN,To_add | To_comment,,Iglike | ligandIUPHAR,394
395,TNR1A_HUMAN,,,,395
396,GGT1_HUMAN,,,,396
397,CXCL2_HUMAN,,,,397
398,CXCL3_HUMAN,,,,398
399,CR2_HUMAN,To_add,,Receptor for complement C3Dd (uniprot),399
400,CD22_HUMAN,To_comment,Receptor_add,,400
401,AL5AP_HUMAN,To_add,,,401
402,ACM3_HUMAN,,,,402
403,TNR1B_HUMAN,,,,403
404,TKN1_HUMAN,,,,404
405,MCH_HUMAN,,,,405
406,TRH_HUMAN,,,,406
407,ITAL_HUMAN,To_comment,Extracellular_add,Integrin,407
408,ITAX_HUMAN,To_add,,Integrin (uniprot),408
409,NTF3_HUMAN,,,,409
410,IL11_HUMAN,,,,410
411,EFNA1_HUMAN,To_comment,extracellular_add,ligandIUPHAR,411
412,CO9A1_HUMAN,,,Collagen,412
413,CO5A1_HUMAN,,,Collagen,413
414,PTN_HUMAN,,,,414
415,NK2R_HUMAN,,,,415
416,FPR1_HUMAN,,,,416
417,CNR1_HUMAN,,,,417
418,SCF_HUMAN,,,,418
419,EPHA1_HUMAN,,,,419
420,DRD1_HUMAN,,,,420
421,C5AR1_HUMAN,,,,421
422,TA2R_HUMAN,,,,422
423,MK_HUMAN,,,,423
424,FGF7_HUMAN,,,,424
425,FGFR2_HUMAN,,,,425
426,CD72_HUMAN,To_add | To_comment,Extracellular_add,Plays a role in B-cell proliferation and differentiation (uniprot),426
427,ERBB3_HUMAN,,,,427
428,DRD4_HUMAN,,,,428
429,DRD5_HUMAN,,,,429
430,BMP5_HUMAN,,,,430
431,BMP6_HUMAN,,,,431
432,CADH3_HUMAN,,,Cadherin,432
433,IL10_HUMAN,,,,433
434,CCL1_HUMAN,,,,434
435,FGFR4_HUMAN,,,Migration,435
436,GALA_HUMAN,,,,436
437,FGFR3_HUMAN,,,,437
438,LSHR_HUMAN,,,,438
439,MRC1_HUMAN,,,,439
440,ITA6_HUMAN,,,Integrin,440
441,PTPRZ_HUMAN,,,,441
442,TNFL4_HUMAN,To_add,,ligandIUPHAR,442
443,BDNF_HUMAN,,,,443
444,FSHR_HUMAN,,,,444
445,IL4RA_HUMAN,,,,445
446,TENA_HUMAN,,,,446
447,HRH2_HUMAN,,,,447
448,CXCR1_HUMAN,,,,448
449,CXCR2_HUMAN,,,,449
450,CO8A2_HUMAN,,,Collagen,450
451,FPR3_HUMAN,,,,451
452,FPR2_HUMAN,,,,452
453,ADA1D_HUMAN,,,,453
454,NK1R_HUMAN,,,,454
455,TNR6_HUMAN,,,,455
456,TNR5_HUMAN,To_comment,Extracellular_add,,456
457,ITB7_HUMAN,To_add,,Integrin (uniprot),457
458,ITB8_HUMAN,To_add,,Integrin (uniprot),458
459,CNTF_HUMAN,To_add,,ligandIUPHAR,459
460,NKG2A_HUMAN,To_add | To_comment,Extracellular_add,KLR_add (uniprot),460
461,NKG2C_HUMAN,To_add | To_comment,Extracellular_add,KLR_add (uniprot),461
462,NKG2D_HUMAN,To_comment,Extracellular_add,,462
463,CD27_HUMAN,To_add,,Cytokine_receptor_add (uniprot),463
464,IL3RA_HUMAN,To_add,,cytokine_receptor,464
465,CNTFR_HUMAN,,,,465
466,AVR2A_HUMAN,To_add,,complex (uniprot),466
467,DPP4_HUMAN,,,,467
468,GDF1_HUMAN,,,,468
469,IL1R2_HUMAN,,,,469
470,5HT1D_HUMAN,,,,470
471,5HT1B_HUMAN,,,,471
472,5HT2A_HUMAN,,,,472
473,5HT2C_HUMAN,,,,473
474,NMBR_HUMAN,,,,474
475,5HT1E_HUMAN,,,,475
476,CD34_HUMAN,To_add,,Possible adhesion molecule (uniprot),476
477,CD38_HUMAN,To_add,,moonlights as a receptor in cells of the immune system (uniprot),477
478,TNR8_HUMAN,,,,478
479,AA2AR_HUMAN,,,,479
480,AA2BR_HUMAN,,,,480
481,EPHA2_HUMAN,,,Migration,481
482,EPHA3_HUMAN,,,Migration,482
483,EPHA8_HUMAN,,,,483
484,EPHB2_HUMAN,To_comment,Adhesion_add,,484
485,NK3R_HUMAN,,,,485
486,IL12A_HUMAN,,,,486
487,IL12B_HUMAN,,,,487
488,CD40L_HUMAN,,,,488
489,CD6_HUMAN,,,,489
490,BKRB2_HUMAN,,,,490
491,V2R_HUMAN,,,,491
492,UFO_HUMAN,,,,492
493,ACHA5_HUMAN,,,,493
494,AA1R_HUMAN,,,,494
495,GRPR_HUMAN,,,,495
496,AGTR1_HUMAN,,,,496
497,OXYR_HUMAN,,,,497
498,SSR1_HUMAN,,,,498
499,SSR2_HUMAN,,,,499
500,ACHB4_HUMAN,,,,500
501,5HT1F_HUMAN,,,,501
502,GNRHR_HUMAN,,,,502
503,CALCR_HUMAN,,,,503
504,NEUT_HUMAN,,,,504
505,CD52_HUMAN,,,,505
506,FGF9_HUMAN,,,,506
507,SSR4_HUMAN,,,Migration,507
508,IL2RG_HUMAN,To_add,,cytokine_receptor,508
509,CEAM8_HUMAN,To_comment,Adhesion_add,,509
510,L1CAM_HUMAN,,,,510
511,CCKAR_HUMAN,,,,511
512,GASR_HUMAN,,,,512
513,VIPR1_HUMAN,,,,513
514,MC4R_HUMAN,,,,514
515,CCR1_HUMAN,,,,515
516,CCR7_HUMAN,,,,516
517,ACHA3_HUMAN,,,,517
518,CXCR5_HUMAN,,,,518
519,SSR3_HUMAN,,,,519
520,IFNA8_HUMAN,,,,520
521,IL3RB_HUMAN,To_add,,cytokine_receptor,521
522,ICAM3_HUMAN,To_add | To_comment,Extracellular_add,Iglike,522
523,CD70_HUMAN,To_add | To_comment,secreted_highlight,Cytokine that binds to CD27 (uniprot),523
524,TNFL8_HUMAN,To_add,,ligandIUPHAR,524
525,MC5R_HUMAN,,,,525
526,CD80_HUMAN,To_add | To_comment,Extracellular_add,Iglike,526
527,NTF4_HUMAN,,,,527
528,RYK_HUMAN,To_remove,,no ensembl,528
529,5HT7R_HUMAN,,,,529
530,CNR2_HUMAN,,,,530
531,TRFR_HUMAN,,,,531
532,PE2R1_HUMAN,,,,532
533,CRFR1_HUMAN,,,,533
534,BTC_HUMAN,,,,534
535,IL13_HUMAN,,,,535
536,ADML_HUMAN,,,,536
537,SSR5_HUMAN,,,,537
538,ADA1A_HUMAN,,,,538
539,HRH1_HUMAN,,,,539
540,ADA1B_HUMAN,,,,540
541,OPRM_HUMAN,,,,541
542,PE2R4_HUMAN,,,,542
543,APJ_HUMAN,,,,543
544,DRD3_HUMAN,,,,544
545,FBN1_HUMAN,,,,545
546,BASI_HUMAN,,,Possible_receptor,546
547,VGFR3_HUMAN,,,,547
548,VGFR2_HUMAN,,,,548
549,ACHA7_HUMAN,,,,549
550,FLT3_HUMAN,To_add | To_comment,Extracellular_add,Iglike,550
551,BMR1A_HUMAN,To_add | To_comment,Extracellular_add,complex (uniprot),551
552,ACV1B_HUMAN,,,IUPHAR,552
553,TGFR1_HUMAN,,,,553
554,TNR3_HUMAN,To_add,,TNF_receptor_add (uniprot),554
555,ACVL1_HUMAN,,,,555
556,TGFR2_HUMAN,,,,556
557,V1AR_HUMAN,,,,557
558,INGR2_HUMAN,,,,558
559,ITAE_HUMAN,To_add,,Integrin (uniprot),559
560,GDNF_HUMAN,,,,560
561,IL6RB_HUMAN,,,,561
562,CEAM6_HUMAN,To_comment,Adhesion_add,,562
563,TACT_HUMAN,To_add | To_comment,Receptor_add | Extracellular_add,Iglike | Receptor_add,563
564,TPO_HUMAN,,,,564
565,TPOR_HUMAN,,,,565
566,IL15_HUMAN,,,,566
567,OPRD_HUMAN,,,,567
568,OPRK_HUMAN,,,,568
569,OPRX_HUMAN,,,,569
570,LEP_HUMAN,,,,570
571,OX2G_HUMAN,To_comment,Extracellular_add,,571
572,WNT5A_HUMAN,,,,572
573,TNFL9_HUMAN,To_add,,ligandIUPHAR,573
574,VIPR2_HUMAN,,,,574
575,5HT2B_HUMAN,,,,575
576,CCR2_HUMAN,,,,576
577,MC3R_HUMAN,,,,577
578,CD86_HUMAN,To_comment,Extracellular_add,,578
579,ASIP_HUMAN,,,,579
580,I12R1_HUMAN,To_add,,cytokine_receptor,580
581,LIFR_HUMAN,,,,581
582,CXCL5_HUMAN,,,,582
583,GDF5_HUMAN,,,,583
584,PF2R_HUMAN,,,,584
585,PE2R3_HUMAN,,,,585
586,PE2R2_HUMAN,,,,586
587,PI2R_HUMAN,,,,587
588,DCC_HUMAN,To_add,,Iglike,588
589,GLP1R_HUMAN,,,,589
590,TNR4_HUMAN,To_add,,TNF_receptor_add (uniprot),590
591,KI2L1_HUMAN,To_comment,Extracellular_add,,591
592,KI2L3_HUMAN,To_comment,Extracellular_add,,592
593,KI3L1_HUMAN,To_comment,Extracellular_add,,593
594,KI3L2_HUMAN,To_comment,Extracellular_add,,594
595,ACHA4_HUMAN,,,,595
596,GPR1_HUMAN,,,,596
597,CCR10_HUMAN,,,,597
598,XCR1_HUMAN,,,,598
599,5HT3A_HUMAN,,,,599
600,BAG6_HUMAN,To_add | To_comment,Extracellular_add,complex,600
601,NOTC1_HUMAN,,,,601
602,BKRB1_HUMAN,,,Migration,602
603,GALR1_HUMAN,,,,603
604,GLR_HUMAN,,,,604
605,SCTR_HUMAN,,,,605
606,5HT5A_HUMAN,,,,606
607,V1BR_HUMAN,,,,607
608,XCL1_HUMAN,,,,608
609,TNFL6_HUMAN,,,,609
610,MTR1A_HUMAN,,,,610
611,SDF1_HUMAN,,,,611
612,NPBW1_HUMAN,,,,612
613,NPBW2_HUMAN,,,,613
614,LEPR_HUMAN,To_comment,Receptor_add,,614
615,GIPR_HUMAN,,,,615
616,INAR2_HUMAN,,,,616
617,NMU_HUMAN,,,,617
618,CD97_HUMAN,,,,618
619,PTH2R_HUMAN,,,,619
620,CX3C1_HUMAN,,,,620
621,MTR1B_HUMAN,,,,621
622,CXCR3_HUMAN,,,,622
623,PRLHR_HUMAN,,,,623
624,GPR15_HUMAN,,,,624
625,PLGF_HUMAN,,,,625
626,VEGFB_HUMAN,,,,626
627,VEGFC_HUMAN,,,,627
628,FLT3L_HUMAN,,,,628
629,ENTP1_HUMAN,To_add | To_comment,transmembrane_add | extracellular_add,,629
630,AGTR2_HUMAN,,,,630
